,date,revenue
159,2021-12-04,20811943.66
160,2021-12-05,15467037.48
161,2021-12-06,14245795.17
162,2021-12-07,14282061.26
163,2021-12-08,15696978.83
164,2021-12-09,16449360.18
165,2021-12-10,21768720.740000002
166,2021-12-11,20307412.18
167,2021-12-12,15193158.96
168,2021-12-13,15332210.23
169,2021-12-14,16200677.08
170,2021-12-15,16121120.27
171,2021-12-16,17491891.36
172,2021-12-17,22806113.830000002
173,2021-12-18,21415458.91
174,2021-12-19,17462932.07
175,2021-12-20,17376476.68
176,2021-12-21,18256120.1
177,2021-12-22,19909490.2
178,2021-12-23,21781655.99
179,2021-12-24,24041488.82
180,2021-12-25,24120537.68
181,2021-12-26,21359939.77
182,2021-12-27,24127876.11
183,2021-12-28,31602596.75
184,2021-12-29,53121367.67
185,2021-12-30,59675139.87
186,2021-12-31,7791102.38
187,2022-01-01,14021733.6
188,2022-01-02,14238353.34
189,2022-01-03,13934176.81
190,2022-01-04,15416216.4
191,2022-01-05,18130795.36
192,2022-01-06,14736714.78
193,2022-01-07,13734990.91
194,2022-01-08,15347265.17
195,2022-01-09,14477048.37
196,2022-01-10,14139162.23
197,2022-01-11,14572017.34
198,2022-01-12,17778398.59
199,2022-01-13,13730554.92
200,2022-01-14,19019200.32
201,2022-01-15,18534816.91
202,2022-01-16,14722250.63
203,2022-01-17,14126439.72
204,2022-01-18,14726288.05
205,2022-01-19,14399009.78
206,2022-01-20,15182708.69
207,2022-01-21,20345415.0
208,2022-01-22,19442923.11
209,2022-01-23,14718657.56
210,2022-01-24,14338729.16
211,2022-01-25,14059441.15
212,2022-01-26,15099381.64
213,2022-01-27,13991851.47
214,2022-01-28,20432870.38
215,2022-01-29,18922502.44
216,2022-01-30,14621965.87
217,2022-01-31,13996929.44
218,2022-02-01,13077863.7
219,2022-02-02,14078992.28
220,2022-02-03,14526066.32
221,2022-02-04,20768132.83
222,2022-02-05,18566576.87
223,2022-02-06,15278006.95
224,2022-02-07,13525932.49
225,2022-02-08,13740362.31
226,2022-02-09,14407304.65
227,2022-02-10,15897556.26
228,2022-02-11,19534699.56
229,2022-02-12,17502433.68
230,2022-02-13,16554557.79
231,2022-02-14,13915704.36
232,2022-02-15,14763356.53
233,2022-02-16,14395862.04
234,2022-02-17,15494350.89
235,2022-02-18,19899425.77
236,2022-02-19,20719857.51
237,2022-02-20,17945217.15
238,2022-02-21,17977141.27
239,2022-02-22,16101348.13
240,2022-02-23,13456532.31
241,2022-02-24,13827343.22
242,2022-02-25,18703846.2
243,2022-02-26,18258838.34
244,2022-02-27,14714939.65
245,2022-02-28,14159423.93
246,2022-03-01,14619969.82
247,2022-03-02,15560852.07
248,2022-03-03,18123133.61
249,2022-03-04,25811353.79
250,2022-03-05,21883787.01
251,2022-03-06,19771223.31
252,2022-03-07,19257074.15
253,2022-03-08,13689403.91
254,2022-03-09,14067666.6
255,2022-03-10,14768589.48
256,2022-03-11,19853639.57
257,2022-03-12,18374000.49
258,2022-03-13,14739828.42
259,2022-03-14,13184188.11
260,2022-03-15,13450311.89
261,2022-03-16,13267616.07
262,2022-03-17,14240082.8
263,2022-03-18,19545332.79
264,2022-03-19,17915922.5
265,2022-03-20,14616003.59
266,2022-03-21,13246342.61
267,2022-03-22,13891968.85
268,2022-03-23,13381797.05
269,2022-03-24,13826853.54
270,2022-03-25,19246220.88
271,2022-03-26,18015639.89
272,2022-03-27,14103210.21
273,2022-03-28,13793081.040000001
274,2022-03-29,13210145.8
275,2022-03-30,14666395.31
276,2022-03-31,14626520.46
277,2022-04-01,20102984.44
278,2022-04-02,18396983.28
279,2022-04-03,14075714.19
